title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
Josephy Library at Fishtrap,,Wallowa County History Collection,Josephy-Library-at-Fishtrap,,,,Josephy Library,"Enterprise, OR",2015,(two copies),,,Ephemera Box,Josephy-Library-at-Fishtrap,Nez Perce Ephemera,record,listing,eng,,
At Wallowa Lake,,Wallowa County History Collection,At-Wallowa-Lake,,,,,"Joseph, OR",,(includes info on Eagle Cap Wilderness Station at Wallowa Lake),,,Ephemera Box,At-Wallowa-Lake,Nez Perce Ephemera,record,listing,eng,,
Wallowa: Gateway to the land of Chief Joseph...Wallowa and Nez Perce history,Oregon Division of Continuing Education,Wallowa County History Collection,Wallowa-Gateway-to-the-land-of-Chief-Joseph-Wallowa-and-Nez-Perce-history,,,,Oregon Division of Continuing Education,"La Grande, OR",1973-07-29,,,,Ephemera Box,Wallowa-Gateway-to-the-land-of-Chief-Joseph-Wallowa-and-Nez-Perce-history,Nez Perce Ephemera,record,listing,eng,,
Wallowa Lake: Best Kept Secret,Chieftain,Wallowa County History Collection,Wallowa-Lake-Best-Kept-Secret,,,,Chieftain,"Enterprise, OR",,Wallowa Co. Chieftain supplement,,,Ephemera Box,Wallowa-Lake-Best-Kept-Secret,Nez Perce Ephemera,record,listing,eng,,
Wallowa ’73: Continuing Education at Wallowa Lake,,Wallowa County History Collection,Wallowa-73-Continuing-Education-at-Wallowa-Lake,,,,,,,,,,Ephemera Box,Wallowa-73-Continuing-Education-at-Wallowa-Lake,Nez Perce Ephemera,record,listing,eng,,
Wallowa Lake Lodge: the Switzerland of America,,Wallowa County History Collection,Wallowa-Lake-Lodge-the-Switzerland-of-America,,,,,"Joseph, OR",,,,,Ephemera Box,Wallowa-Lake-Lodge-the-Switzerland-of-America,Nez Perce Ephemera,record,listing,eng,,
Wallowa Valley Art Festival: sixteenth annual,,Wallowa County History Collection,Wallowa-Valley-Art-Festival-sixteenth-annual,,,,,"Joseph, OR",,,,,Ephemera Box,Wallowa-Valley-Art-Festival-sixteenth-annual,Nez Perce Ephemera,record,listing,eng,,
Farwell to Hells Canyon,John Skow,Wallowa County History Collection,Farwell-to-Hells-Canyon,,,,Saturday Evening Post,,1967-07-01,,,,,Farwell-to-Hells-Canyon,WC History Collection,record,listing,eng,,
NE Oregon’s Magazine,,Wallowa County History Collection,NE-Oregon-s-Magazine,,,,,,2016,,,,,NE-Oregon-s-Magazine,WC History Collection,record,listing,eng,,
A Picturesque Burial Ceremony,D.B. Reavis,Wallowa County History Collection,A-Picturesque-Burial-Ceremony,,,,"The Pacific Northwest (Vol. 1, No. 1)",,1928,"on Old Chief Joseph reburial, including photos, May 1928 (on shelf with Alvin Josephy magazine articles)",,,,A-Picturesque-Burial-Ceremony,WC History Collection,record,listing,eng,,
"The Rustic Valley Vol. IV, No. 1; A Foxfire Project",,Wallowa County History Collection,The-Rustic-Valley-Vol-IV-No-1-A-Foxfire-Project,,,,,,1991-04-01,April 1991 edition,,,,The-Rustic-Valley-Vol-IV-No-1-A-Foxfire-Project,WC History Collection,record,listing,eng,,
