object-id,filename,title,creator,publisher/publication,place,date,description,subject,page,vol-issue,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,note
65,https://catalog.sage.eou.edu/eg/opac/record/65,The American heritage history of American antiques from the Revolution to the Civil War,"Davidson, Marshall B.",,,1968,,1783-1865;Antiques -- History -- Social life and customs;Antiques United States History United States Social life and customs 1783-1865;United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/65,record,url,eng,,,
236,https://catalog.sage.eou.edu/eg/opac/record/236,Westward to Promontory : building the Union Pacific across the plains and mountains; a pictorial documentary,"Combs, Barry",,,1969,,Union Pacific Railroad Company,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/236,record,url,eng,,,
1215,https://catalog.sage.eou.edu/eg/opac/record/1215,Campfires and cattle trails : recollections of the early west in the letters of J. H. Harshman,"Harshman, J. H. (James Hamer) 1858-1931",,,1970,,Frontier and pioneer life;Frontier and pioneer life West (U.S.);West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/1215,record,url,eng,,,{0870041959}
1418,https://catalog.sage.eou.edu/eg/opac/record/1418,Geronimo: his own story,Geronimo 1829-1909,,,1970,,Apache Indians -- Apache Indians -- Wars;Geronimo 1829-1909;Geronimo 1829-1909 Apache Indians Biography Apache Indians Wars,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/1418,record,url,eng,,,{0525113088}
2017,https://catalog.sage.eou.edu/eg/opac/record/2017,The expeditions of John Charles Frémont,"Frémont, John Charles 1813-1890",,,1970,,"Discovery and exploration -- Description and travel -- Discovery and exploration;Frémont, John Charles 1813-1890;Frémont, John Charles 1813-1890 United States Discovery and exploration West (U.S.) Description and travel West (U.S.) Discovery and exploration;United States -- West (U.S.) -- West (U.S.)",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/2017,record,url,eng,,,"{""0252000862 (v. 1)""}"
2181,https://catalog.sage.eou.edu/eg/opac/record/2181,The voice that is great within us : American poetry of the twentieth century,"Carruth, Hayden 1921-2008",,,1970,,20th century;American poetry -- Poetry;American poetry 20th century Poetry Literary collections,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/2181,record,url,eng,,,
2316,https://catalog.sage.eou.edu/eg/opac/record/2316,Paul Kane's frontier : including Wanderings of an artist among the Indians of North America,"Kane, Paul 1810-1871",,,1971,,Indians of North America;Indians of North America Pictorial works,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/2316,record,url,eng,,,{0292701101}
3066,https://catalog.sage.eou.edu/eg/opac/record/3066,The age of the moguls,"Holbrook, Stewart H. 1893-1964",,,1953,,Businessmen -- Capitalists and financiers -- Biography -- History -- Industries -- History;Businessmen United States Biography Capitalists and financiers United States Biography History Industries United States History;United States -- United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/3066,record,url,eng,,,
3311,https://catalog.sage.eou.edu/eg/opac/record/3311,A treasury of western folklore,"Botkin, Benjamin Albert 1901-1975",,,1951,,Folklore;Folklore West (U.S.);West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/3311,record,url,eng,,,
3788,https://catalog.sage.eou.edu/eg/opac/record/3788,"Founders and frontiersmen : historic places commemorating early nationhood and the westward movement, 1783-1828",United States National Park Service,,,1968,,1783-1865;Historic buildings -- History;Historic buildings United States United States History 1783-1865;United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/3788,record,url,eng,,,
4127,https://catalog.sage.eou.edu/eg/opac/record/4127,History of North Dakota,"Robinson, Elwyn B.",,,1966,,History;North Dakota;North Dakota History,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/4127,record,url,eng,,,
